Id_censo,Indicadores de renta media,Primera fecha: Total
2807901038,Renta bruta media por hogar,29.125
2807901038,Renta bruta media por persona,14.639
2807901038,Renta neta media por hogar,24.206
2807901038,Renta neta media por persona,12.166
2807901039,Media de la renta por unidad de consumo,17.230
2807901039,Mediana de la renta por unidad de consumo,13.650
2807901039,Renta bruta media por hogar,32.360
2807901039,Renta bruta media por persona,15.189
2807901039,Renta neta media por hogar,27.006
2807901039,Renta neta media por persona,12.676
2807901040,Media de la renta por unidad de consumo,17.584
2807901040,Mediana de la renta por unidad de consumo,15.050
2807901040,Renta bruta media por hogar,32.767
2807901040,Renta bruta media por persona,15.472
2807901040,Renta neta media por hogar,27.312
2807901040,Renta neta media por persona,12.896
2807901041,Media de la renta por unidad de consumo,18.844
2807901041,Mediana de la renta por unidad de consumo,14.350
2807901041,Renta bruta media por hogar,36.694
2807901041,Renta bruta media por persona,16.818
2807901041,Renta neta media por hogar,29.865
2807901041,Renta neta media por persona,13.688
2807901042,Media de la renta por unidad de consumo,18.094
2807901042,Mediana de la renta por unidad de consumo,15.050
2807901042,Renta bruta media por hogar,34.787
2807901042,Renta bruta media por persona,15.959
2807901042,Renta neta media por hogar,28.784
2807901042,Renta neta media por persona,13.205
2807901043,Media de la renta por unidad de consumo,15.460
2807901043,Mediana de la renta por unidad de consumo,12.950
2807901043,Renta bruta media por hogar,28.743
2807901043,Renta bruta media por persona,13.641
2807901043,Renta neta media por hogar,24.159
2807901043,Renta neta media por persona,11.465
2807901045,Media de la renta por unidad de consumo,19.901
2807901045,Mediana de la renta por unidad de consumo,16.450
2807901045,Renta bruta media por hogar,37.426
2807901045,Renta bruta media por persona,17.768
2807901045,Renta neta media por hogar,30.176
2807901045,Renta neta media por persona,14.326
2807901046,Media de la renta por unidad de consumo,20.194
2807901046,Mediana de la renta por unidad de consumo,17.150
2807901046,Renta bruta media por hogar,37.276
2807901046,Renta bruta media por persona,18.011
2807901046,Renta neta media por hogar,30.589
2807901046,Renta neta media por persona,14.780
2807901047,Media de la renta por unidad de consumo,16.725
2807901047,Mediana de la renta por unidad de consumo,13.650
2807901047,Renta bruta media por hogar,32.270
2807901047,Renta bruta media por persona,14.852
2807901047,Renta neta media por hogar,26.788
2807901047,Renta neta media por persona,12.329
2807901048,Media de la renta por unidad de consumo,16.561
2807901048,Mediana de la renta por unidad de consumo,13.650
2807901048,Renta bruta media por hogar,31.620
2807901048,Renta bruta media por persona,14.455
2807901048,Renta neta media por hogar,26.393
2807901048,Renta neta media por persona,12.066
2807901049,Media de la renta por unidad de consumo,15.280
2807901049,Mediana de la renta por unidad de consumo,12.950
2807901049,Renta bruta media por hogar,27.461
2807901049,Renta bruta media por persona,14.043
2807901049,Renta neta media por hogar,22.876
2807901049,Renta neta media por persona,11.699
2807901050,Media de la renta por unidad de consumo,16.681
2807901050,Mediana de la renta por unidad de consumo,13.650
2807901050,Renta bruta media por hogar,30.264
2807901050,Renta bruta media por persona,15.022
2807901050,Renta neta media por hogar,25.062
2807901050,Renta neta media por persona,12.440
2807901051,Media de la renta por unidad de consumo,16.098
2807901051,Mediana de la renta por unidad de consumo,13.650
2807901051,Renta bruta media por hogar,28.467
2807901051,Renta bruta media por persona,14.887
2807901051,Renta neta media por hogar,23.591
2807901051,Renta neta media por persona,12.337
2807901053,Media de la renta por unidad de consumo,20.123
2807901053,Mediana de la renta por unidad de consumo,17.850
2807901053,Renta bruta media por hogar,35.541
2807901053,Renta bruta media por persona,18.522
2807901053,Renta neta media por hogar,28.764
2807901053,Renta neta media por persona,14.990
2807901054,Media de la renta por unidad de consumo,16.743
2807901054,Mediana de la renta por unidad de consumo,14.350
2807901054,Renta bruta media por hogar,30.521
2807901054,Renta bruta media por persona,15.295
2807901054,Renta neta media por hogar,25.308
2807901054,Renta neta media por persona,12.682
2807901055,Media de la renta por unidad de consumo,22.963
2807901055,Mediana de la renta por unidad de consumo,20.650
2807901055,Renta bruta media por hogar,40.833
2807901055,Renta bruta media por persona,20.790
2807901055,Renta neta media por hogar,33.132
2807901055,Renta neta media por persona,16.869
2807901056,Media de la renta por unidad de consumo,24.123
2807901056,Mediana de la renta por unidad de consumo,19.250
2807901056,Renta bruta media por hogar,45.365
2807901056,Renta bruta media por persona,21.798
2807901056,Renta neta media por hogar,36.655
2807901056,Renta neta media por persona,17.612
2807901057,Media de la renta por unidad de consumo,25.668
2807901057,Mediana de la renta por unidad de consumo,22.750
2807901057,Renta bruta media por hogar,45.000
2807901057,Renta bruta media por persona,22.860
2807901057,Renta neta media por hogar,36.679
2807901057,Renta neta media por persona,18.633
2807901058,Media de la renta por unidad de consumo,24.424
2807901058,Mediana de la renta por unidad de consumo,19.950
2807901058,Renta bruta media por hogar,46.763
2807901058,Renta bruta media por persona,21.800
2807901058,Renta neta media por hogar,37.110
2807901058,Renta neta media por persona,17.300
2807901059,Media de la renta por unidad de consumo,23.189
2807901059,Mediana de la renta por unidad de consumo,19.250
2807901059,Renta bruta media por hogar,41.204
2807901059,Renta bruta media por persona,20.988
2807901059,Renta neta media por hogar,33.242
2807901059,Renta neta media por persona,16.932
2807901061,Media de la renta por unidad de consumo,26.659
2807901061,Mediana de la renta por unidad de consumo,21.350
2807901061,Renta bruta media por hogar,47.533
2807901061,Renta bruta media por persona,23.644
2807901061,Renta neta media por hogar,38.602
2807901061,Renta neta media por persona,19.202
2807901062,Media de la renta por unidad de consumo,26.574
2807901062,Mediana de la renta por unidad de consumo,19.950
2807901062,Renta bruta media por hogar,47.786
2807901062,Renta bruta media por persona,25.639
2807901062,Renta neta media por hogar,37.402
2807901062,Renta neta media por persona,20.067
2807901063,Media de la renta por unidad de consumo,26.546
2807901063,Mediana de la renta por unidad de consumo,20.650
2807901063,Renta bruta media por hogar,47.429
2807901063,Renta bruta media por persona,24.847
2807901063,Renta neta media por hogar,36.525
2807901063,Renta neta media por persona,19.134
2807901064,Media de la renta por unidad de consumo,27.842
2807901064,Mediana de la renta por unidad de consumo,21.350
2807901064,Renta bruta media por hogar,50.638
2807901064,Renta bruta media por persona,26.813
2807901064,Renta neta media por hogar,38.935
2807901064,Renta neta media por persona,20.616
2807901065,Media de la renta por unidad de consumo,29.477
2807901065,Mediana de la renta por unidad de consumo,20.650
